Section,Report Title,URL,Display Order
Comprehensive Annual Financial Report (CAFR),FY 2004 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/city%20of%20detroit-cafr.pdf,53
Comprehensive Annual Financial Report (CAFR),FY 2003 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2003CAFRFINAL1.pdf,54
Comprehensive Annual Financial Report (CAFR),FY 2002 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2002_CAFR.pdf,55
Single Audit Reports,FY 2018 Single Audit Report,https://detroitmi.gov/document/fiscal-year-2018-single-audit-report,56
Single Audit Reports,FY 2017 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2017%20Single%20Audit%20Report.pdf,57
Single Audit Reports,FY 2016 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/32883-City-of-Detroit-SA-0616-FINAL.pdf,58
Single Audit Reports,FY 2015 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2015-Single-Audit-Report.pdf,59
Single Audit Reports,FY 2014 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2014-Single-Audit-Report.pdf,60
Single Audit Reports,FY 2013 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2013%20Single%20Audit%20Report.pdf,61
Single Audit Reports,FY 2012 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%202012%20Single%20Audit%20Report.pdf,62
Single Audit Reports,FY 2011 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2011%20COD%20Single%20Audit%20Report_1.pdf,63
Single Audit Reports,FY 2010 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2009-2010%20City%20of%20Detroit%20Single%20Audit%20Report.pdf,64
Single Audit Reports,FY 2009 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2008-09%20Single%20Audit%20Report.pdf,65
Single Audit Reports,FY 2008 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2007-08%20Single%20Audit%20Report.pdf,66
Single Audit Reports,FY 2007 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2006-07%20Single%20Audit%20Report.pdf,67
Single Audit Reports,FY 2006 Single Audit Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2005-06%20Single%20Audit%20Report.pdf,68
Monthly Financial Reports,February 2019 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CityofDetroitOCFOMonthlyFinancialReportFeb19CC.pdf,69
Monthly Financial Reports,January 2019 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CityofDetroitOCFOMonthlyFinancialReportJan19.pdf,70
Monthly Financial Reports,December 2018 Financial Report,https://detroitmi.gov/document/december-2018-financial-report,71
Monthly Financial Reports,November 2018 Financial Report,https://detroitmi.gov/document/november-2018-financial-report,72
Monthly Financial Reports,October 2018 Financial Report,https://detroitmi.gov/document/october-2018-financial-report,73
Monthly Financial Reports,September 2018 Financial Report,https://detroitmi.gov/document/september-2018-financial-report,74
Monthly Financial Reports,August 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Aug%2018%20Final.pdf,75
Monthly Financial Reports,July 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CC%20Monthly%20Report%20Jul%2018%20(secured).pdf,76
Monthly Financial Reports,June 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CC%20Monthly%20Report%20Jun%2018.pdf,77
Monthly Financial Reports,May 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/OCFO%20Monthly%20Report%20to%20CC%20May%2018%20FINAL.pdf,78
Monthly Financial Reports,April 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/OCFO%20Monthly%20Report%20to%20CC%20Apr%2018%20FINAL.pdf,79
Monthly Financial Reports,March 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/OCFO%20Monthly%20Report%20to%20CC%20Mar%2018%20FINAL.pdf,80
Monthly Financial Reports,February 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Feb%2018%20FINAL%20v2.pdf,81
Monthly Financial Reports,January 2018 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Jan%2018%20FINAL%20v2.pdf,82
Monthly Financial Reports,December 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Dec%2017%20FINAL.pdf,83
Monthly Financial Reports,November 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Nov%2017%20FINAL.pdf,84
Monthly Financial Reports,October 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Oct%2017%20FINAL2.pdf,85
Monthly Financial Reports,September 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Sept%2017%20FINAL.pdf,86
Monthly Financial Reports,August 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City%20of%20Detroit%20-%20OCFO%20Report%20Aug%2017%20FINAL.pdf,87
Monthly Financial Reports,July 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CityofDetroit-OCFO-Report-July-17-FINAL.pdf,88
Monthly Financial Reports,June 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-June-17-FINAL.pdf,89
Monthly Financial Reports,May 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-May-17-FINAL.pdf,90
Monthly Financial Reports,April 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Apr-17-FINAL.pdf,91
Monthly Financial Reports,March 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Mar-17-FINAL.pdf,92
Monthly Financial Reports,February 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Feb-17-FINAL.pdf,93
Monthly Financial Reports,January 2017 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Jan-17-FINAL.pdf,94
Monthly Financial Reports,December 2016 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Dec-16-FINAL.pdf,95
Monthly Financial Reports,November 2016 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Nov-16-FINAL.pdf,96
Monthly Financial Reports,October 2016 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Oct-16-FINAL.pdf,97
Monthly Financial Reports,September 2016 Financial Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/City-of-Detroit-OCFO-Report-Sept-16-FINAL.pdf,98
Quarterly Financial Reports,"Quarterly Financial Report for the Two Quarters ended Dec 31, 2018",https://detroitmi.gov/document/quarterly-financial-report-two-quarters-ended-dec-31-2018,99
Quarterly Financial Reports,Q1 FY 2019 Financial Report,https://detroitmi.gov/document/q1-fy-2019-financial-report,100
Quarterly Financial Reports,September 2018 First Quarter Financial Report,https://detroitmi.gov/document/september-2018-first-quarter-financial-report,101
Quarterly Financial Reports,June 2018 Fourth Quarter Debt Service and Pension Payment Reports,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CC%20Quarterly%20Report%20Q4%2018.pdf,102
Quarterly Financial Reports,March 2018 Third Quarter Debt Service and Pension Payment Reports,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/OCFO%20Quarterly%20Report%20to%20CC%20Q3%2018%20FINAL.pdf,103
Capital Agenda,FY 2020-2024 Proposed Capital Agenda,https://detroitmi.gov/document/fy-2020-2025-proposed-capital-agenda,104
Other Reports,FY 2020 Long-Term Forecast Report for Legacy Pension Plans and Debt Obligations,https://detroitmi.gov/document/fy-2020-long-term-forecast-report-legacy-pension-plans-and-debt-obligations,105
Other Reports,Fiscal Year 2019 CVTRS Report,https://detroitmi.gov/document/fy19-detroit-cvtrs-report,106
Other Reports,FY 2018 Local Government Retirement System Annual Report,https://detroitmi.gov/document/2018-local-government-retirement-system-annual-report,107
Other Reports,FY 2017 Local Government Retirement System Annual Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2017%20Local%20Government%20Retirement%20System%20Annual%20Report.pdf,108
Other Reports,December 2017 Annual Accountability and Transparency Report,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CVTRS%20Form%20Submission%20120117_1.pdf,109
